clip_id,category,subcategory,visual,audio_sfx,palette,duration
blackliquidity-scam5-emptydriveway-341,black_liquidity,scam-broll,"Wide shot of an empty driveway at dusk, a faded parking outline visible on the concrete, a dark house looming behind, deep red sky, realistic 4K, dark moody cinematic, high contrast. Slow low wide dolly forward toward the driveway. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. Low wind moving across the open driveway, a faint distant dog bark, quiet suburban dusk ambience, the soft creak of a nearby gate swaying.",red-dusk,8s
blackliquidity-scam5-repossessionyard-342,black_liquidity,scam-broll,"Wide shot of a fenced storage yard at night, silhouettes of repossessed vehicles lined up in rows under sparse security lighting, cinematic depth, realistic 4K, dark moody high contrast. Slow wide lateral tracking shot along the fence line. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The low electrical hum of distant security lights, a faint metallic tick of cooling vehicle frames, quiet night ambience, a distant chain-link fence rattling faintly in the wind.",dark-neonred,8s
blackliquidity-scam5-suburbanstreet-343,black_liquidity,scam-broll,"Wide shot of a quiet suburban street at dusk, one house dark and shuttered among lit neighboring homes, deep red sky, realistic 4K, dark moody cinematic, high contrast. Slow wide dolly down the empty street. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. Distant crickets beginning their evening chorus, a faint far-off car passing, quiet suburban ambience, soft wind through nearby trees.",red-dusk,8s
blackliquidity-scam5-emptygarage-344,black_liquidity,scam-broll,"Wide shot of an open residential garage at night, empty space where a car should be, a single bare bulb glowing overhead, realistic 4K, dark moody cinematic, high contrast. Slow wide push-in into the empty garage. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The faint buzz of the bare overhead bulb, a distant echo characteristic of the empty concrete space, quiet ambient night tone, a soft metallic tick of the cooling garage door track.",dark-neonred,8s
blackliquidity-scam5-genericfinancebuilding-345,black_liquidity,scam-broll,"Wide shot of a generic glass office building exterior at night, only a few scattered windows lit, deep red sky reflecting off the glass facade, realistic 4K, dark moody cinematic, high contrast. Slow low wide dolly forward toward the building. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. Distant city traffic murmur, a faint electrical hum from the building's exterior lighting, quiet night ambience, soft wind moving between the buildings.",dark-neonred,8s
blackliquidity-scam5-foreclosedyard-346,black_liquidity,scam-broll,"Wide shot of an overgrown front yard at dusk, a generic silhouette sign post standing crooked near the walkway, deep red sky, realistic 4K, dark moody cinematic, high contrast. Slow wide push-in toward the house. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. Overgrown grass rustling faintly in the wind, a distant bird call, quiet dusk ambience, the faint creak of the leaning sign post.",red-dusk,8s
blackliquidity-scam5-emptyparkinggarage-347,black_liquidity,scam-broll,"Wide shot of a multi-level parking garage, mostly empty concrete bays under flickering fluorescent light, deep shadows between support pillars, realistic 4K, dark moody cinematic, high contrast. Slow wide lateral tracking shot past the empty bays. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The intermittent buzz and flicker of failing fluorescent tubes, a distant echo characteristic of bare concrete, quiet ambient garage tone, a faint drip of water somewhere off-frame.",dark-neonred,8s
blackliquidity-scam5-mailroomwide-348,black_liquidity,scam-broll,"Wide shot of an apartment building mailroom, rows of small metal mailboxes, one door hanging open with red envelopes spilling out, dim overhead light, realistic 4K, dark moody cinematic, high contrast. Slow wide push-in toward the overflowing box. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The faint hum of the overhead light fixture, a soft papery rustle of envelopes shifting, quiet ambient building tone, a distant muffled door closing elsewhere in the building.",dark-neonred,8s
blackliquidity-scam5-emptystorageunit-349,black_liquidity,scam-broll,"Wide shot of a self-storage unit with its roller door open, completely empty concrete interior lit by a bare bulb, realistic 4K, dark moody cinematic, high contrast. Slow wide push-in into the empty unit. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The faint buzz of the bare bulb, a hollow echo characteristic of the empty concrete unit, quiet ambient night tone, a distant metallic clank of another roller door somewhere in the facility.",dark-neonred,8s
blackliquidity-scam5-duskneighborhood-350,black_liquidity,scam-broll,"Wide elevated shot of a suburban neighborhood street at dusk, rows of houses under a deep red sky, one rooftop silhouette in the foreground, realistic 4K, dark moody cinematic, high contrast. Slow wide drift forward over the street. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. Distant evening ambience of a quiet neighborhood, faint crickets starting their chorus, a far-off dog bark, soft wind moving across rooftops.",red-dusk,8s
blackliquidity-scam6-serverroomwide-351,black_liquidity,scam-broll,"Wide shot of a dark server room, rows of server racks with blinking status lights receding into shadow, cinematic depth, realistic 4K, dark moody high contrast. Slow wide dolly forward down the center aisle. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The steady mechanical hum and whir of server cooling fans, a faint electronic chirp from a status light, quiet ambient data-center tone, cool air venting softly.",dark-neonred,8s
blackliquidity-scam6-officefloorempty-352,black_liquidity,scam-broll,"Wide shot of an open-plan office floor at night, rows of empty desks with monitors glowing faintly, city lights visible through windows, realistic 4K, dark moody cinematic, high contrast. Slow wide lateral tracking shot across the empty floor. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The faint electronic hum of idle monitors, distant muffled city traffic through the windows, quiet ambient office tone, the soft click of an HVAC vent cycling.",dark-neonred,8s
blackliquidity-scam6-callcenterempty-353,black_liquidity,scam-broll,"Wide shot of rows of empty call-center desks at night, headsets left resting on keyboards, dim overhead lighting, realistic 4K, dark moody cinematic, high contrast. Slow wide push-in down the center row. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The faint hum of overhead fluorescent lighting, quiet ambient office tone, a distant muffled phone ringing once then stopping, soft ventilation drone.",dark-neonred,8s
blackliquidity-scam6-datacenteraisle-354,black_liquidity,scam-broll,"Wide shot down a data-center aisle, a red warning light pulsing rhythmically at the far end, rows of humming equipment racks, realistic 4K, dark moody cinematic, high contrast. Slow wide dolly forward toward the pulsing light. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The steady mechanical hum of cooling fans, a synchronized electronic beep matching the pulsing red light, cool air venting softly, quiet ambient data-center tone.",dark-neonred,8s
blackliquidity-scam6-emptyitroom-355,black_liquidity,scam-broll,"Wide shot of a cramped IT server closet, tangled cables running along equipment racks, a single status light blinking red in the dark, realistic 4K, dark moody cinematic, high contrast. Slow wide push-in toward the blinking light. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The whir of small cooling fans, a faint electronic click from a switching relay, quiet ambient closet tone, cables faintly creaking against the rack.",dark-neonred,8s
blackliquidity-scam6-phonestorewide-356,black_liquidity,scam-broll,"Wide shot of a generic electronics store interior at night, empty display counters glowing faintly under security lighting, realistic 4K, dark moody cinematic, high contrast. Slow wide lateral tracking shot past the empty counters. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The faint hum of security lighting and idle display screens, quiet ambient retail tone, a distant muffled alarm system beep, soft HVAC drone.",dark-neonred,8s
blackliquidity-scam6-mailboxrowwide-357,black_liquidity,scam-broll,"Wide shot of a long row of apartment mailboxes in a dim corridor, several with red flags raised, realistic 4K, dark moody cinematic, high contrast. Slow wide lateral tracking shot along the row. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The faint hum of corridor lighting, a soft metallic creak of one mailbox flag settling, quiet ambient building tone, distant muffled footsteps fading away.",dark-neonred,8s
blackliquidity-scam6-securitydeskempty-358,black_liquidity,scam-broll,"Wide shot of an unmanned building security desk at night, a bank of monitors showing static glow, dim ambient light, realistic 4K, dark moody cinematic, high contrast. Slow wide push-in toward the monitor bank. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The faint static hiss and electronic hum of the monitor bank, quiet ambient lobby tone, a distant muffled door latch, soft HVAC drone.",dark-neonred,8s
blackliquidity-scam6-emptyatmlobby-359,black_liquidity,scam-broll,"Wide shot of a small ATM lobby at night, a single screen glowing faintly in the dim space, glass doors reflecting the empty street outside, realistic 4K, dark moody cinematic, high contrast. Slow wide push-in toward the glowing screen. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The faint electronic hum of the idle screen, a soft whir of an internal cooling fan, quiet ambient lobby tone, distant muffled street sounds through the glass.",dark-neonred,8s
blackliquidity-scam6-citystreetdusk-360,black_liquidity,scam-broll,"Wide shot of a city street at dusk, scattered neon signs reflecting off wet pavement, deep red sky between buildings, realistic 4K, dark moody cinematic, high contrast. Slow wide dolly forward down the empty street. No text overlay, no logo, no faces, no brand.","Sound effects only, no music, no score, no dialogue. The soft hiss of distant tires on wet pavement, a faint electrical buzz from a neon sign, quiet urban dusk ambience, distant muffled city murmur.",dark-neonred,8s
