shot	t_start	t_end	heard	speaker	scripted	match
24	0.0	3.76	ค่าเส้น ค่าหมู ค่าน้ำแข็ง แล้วก็ค่าแก้ด	somchai	ค่าเส้น ค่าหมู ค่าน้ำแข็ง แล้วก็ค่าแก๊ส	0.94
24	3.76	6.4	วันนี้ได้มา 32002 เหลือเท่านี้	somchai	วันนี้ได้มาสามพันสอง เหลือเท่านี้	0.81
24	6.4	8.84	อันนี้แยกไว้เป็นค่ายาเดือนนี้นะ	somchai	อันนี้แยกไว้เป็นค่ารักษาแม่เดือนนี้นะ	0.88
25	0.75	6.25	แล้วอันนี้ เก็บไว้ก่อน วันพื้อหัดคอยว่ากัน	somchai	แล้วอันนี้...	0.4
25			(ไม่ได้ยิน)	somchai	เก็บไว้ก่อน วันพฤหัสค่อยว่ากัน	0.0
26	0.18	1.68	พ่อ นับเงินอยู่เหรอ?	ton	พ่อนับเงินอยู่เหรอ	1.0
26	2.68	4.68	เปล่า เช็กยอดเฉยๆ	somchai	เปล่า เช็คยอดเฉยๆ	0.94
26	4.68	6.88	มีเก็บเยอะขนาดนี้เลยเหรอ พ่อ	ton	มีเก็บเยอะขนาดนี้เลยเหรอพ่อ	1.0
27	1.33	3.33	เยอะที่ไหนล่ะ	somchai	เยอะที่ไหนล่ะ พอค่าเส้นพรุ่งนี้ก็หมดแล้ว	0.5
27	3.33	5.33	พอค้าเส้นพรุ่งนี้ก็หมดแล้ว			0.0
28	1.42	4.22	ลุงครับ เส้นเล็กน้ำสัยเหมือนเดิมครับ	wit	ลุงครับ เส้นเล็กน้ำใสเหมือนเดิมครับ	0.96
28	4.22	6.02	วันนี้คนเยอะนะครับลุง	wit	วันนี้คนเยอะนะครับลุง	1.0
29	0.11	2.11	ไม่ใส่หัวงอกใช่ไหมวิทย์	somchai	ไม่ใส่ถั่วงอกใช่ไหมวิทย์	0.94
29	2.11	4.11	ลุงจำได้ทุกทีเลย	wit	ลุงจำได้ทุกทีเลย	1.0
29	4.11	7.11	ก็กินมาตั้งแต่ตัวเท่านี้	somchai	ก็กินมาตั้งแต่ตัวเท่านี้	1.0
30	0.34	2.34	เท่าไหร่ครับลุง	wit	เท่าไหร่ครับลุง	1.0
30	2.34	5.34	เอาไว้ก่อนวันหลังค้อยจ่าย	somchai	เอาไว้ก่อน วันหลังค่อยจ่าย	0.96
30	5.34	7.34	ลุงพูดแบบนี้ทุกทีนะครับ	wit	ลุงพูดแบบนี้ทุกทีนะครับ	1.0
30	7.34	9.34	ก็จริงทุกที	somchai	ก็จริงทุกที	1.0
31	0.24	2.24	ผมวางไว้ตรงนี้นะ ลุง	wit	ผมวางไว้ตรงนี้นะลุง	1.0
31	2.24	4.24	วิทย์ เอาคืนไป	somchai	วิทย์ เอาคืนไป	1.0
31	4.24	5.74	ลุงครับ	wit	ลุงครับ...	1.0
31	5.74	7.24	ลุงครับ			0.0
32	0.98	3.18	เอาคืนไป ลุงไม่รับหรอก	somchai	เอาคืนไป ลุงไม่รับหรอก	1.0
32	3.18	7.98	วิทย์กินให้อร่อยก็พอแล้ว ลุงพอใจแล้ว	somchai	วิทย์กินให้อร่อยก็พอแล้ว ลุงพอใจแล้ว	1.0
33	1.42	3.42	พ่อไม่เคยเก็บตั้งพี่วิทย์เลยใช่ไหม	ton	พ่อไม่เคยเก็บตังค์พี่วิทย์เลยใช่ไหม	0.96
33	4.42	6.42	ตั้งแต่เขายังไม่สูงเท่าเขาเติร์	somchai	ตั้งแต่เขายังไม่สูงเท่าเคาน์เตอร์	0.91
33	7.42	8.42	20ปีเลยนะพ่อ	ton	ยี่สิบปีเลยนะพ่อ	0.65
34	1.2	3.2	ก็แค่กวิตเตียวชามเดียวลูก	somchai	ก็แค่ก๋วยเตี๋ยวชามเดียวลูก	0.9
34	3.7	5.2	ไม่เห็นต้องจดไว้	somchai	ไม่เห็นต้องจดไว้	1.0
35	0.0	2.0	ลูกชิ้นพิเศษโต้ 5	somchai	ลูกชิ้นพิเศษโต๊ะห้า	0.92
35	2.0	4.0	ได้ครับ เดี๋ยวก่อนนะครับ	ton	ได้ครับ เดี๋ยวก่อนนะครับ	1.0
36	1.74	5.14	สวัสดีครับพี่ชาย มาทานกวิตเตียวหน่อย ข้างครับ	cherd	สวัสดีครับพี่ชาย มาทานก๋วยเตี๋ยวหน่อย	0.84
36	5.14	7.14	ร้านนี้คนแน่นดีนะครับ	cherd	ร้านนี้คนแน่นดีนะครับ	1.0
37	1.17	3.17	เชิญ นั่งก่อนครับ เดี๋ยวผมมา	somchai	เชิญนั่งก่อนครับ เดี๋ยวผมมา	1.0
37	3.17	5.67	ไม่ต้องรีบครับพี่ ผมรอได้	cherd	ไม่ต้องรีบครับพี่ ผมรอได้	1.0
38	0.94	3.44	เส้นเล็กน้ำสัยนะครับ ร้อนร้อนเลย	ton	เส้นเล็กน้ำใสนะครับ ร้อนๆเลย	0.86
38	3.44	4.94	โตขึ้นเยอะเลยนะ	cherd	โตขึ้นเยอะเลยนะ จำได้ตั้งแต่ยังวิ่งเล่นอยู่แถวนี้	0.48
38	4.94	7.44	จำได้ตั้งแต่ยังวิ่งเล่นอยู่เท่านี้			0.0
39	0.98	2.98	พ่อรู้จักรุ่มคนนั้นด้วยเหรอครับ	ton	พ่อรู้จักลุงคนนั้นด้วยเหรอครับ	0.92
39	3.98	5.98	รู้จักมานานแล้ว	somchai	รู้จักมานานแล้ว	1.0
40	2.0	4.62	งวดนี้ไม่น่ามีปัญหาอะไรเนอะพี่	cherd	งวดนี้ไม่น่ามีปัญหาอะไรเนอะพี่	1.0
40	4.62	5.92	ไม่มีครับ	somchai	ไม่มีครับ	1.0
40	6.76	9.26	ผมก็ว่างนั้น ร้านพี่คนเยอะออก	cherd	ผมก็ว่างั้น ร้านพี่คนเยอะออก	0.98
41	0.18	1.8	ผมไม่ชอบมากลวนใครเหรอครับ	cherd	ผมไม่ชอบมากวนใครหรอกครับ ไม่ใช่นิสัยผม	0.74
41	1.8	2.88	ไม่ใช่นี้ใส่ผม	cherd	ผมชอบให้ทุกคนสบายใจกันทุกฝ่ายมากกว่า	0.08
41	2.88	4.6	ไม่ใช่นี้ใส่ผม			0.0
41	4.6	7.46	ผมชอบให้ทุกคนสบายใจกันทุกฝ่ายมากมา			0.0
42	1.62	4.62	เชื่อดเองก็ต้องส่งใครเหมือนกันใช่ไหมครับ	somchai	เชิดเองก็ต้องส่งใครเหมือนกันใช่ไหมครับ	0.95
42	5.12	8.62	ผมไม่มีเจ้านายหรอกพี่ เงินผมทั้งนั้น	cherd	ผมไม่มีเจ้านายหรอกพี่ เงินผมทั้งนั้น	1.0
42			(ไม่ได้ยิน)	somchai	อือ	0.0
43	0.0	2.0	เงินข้าวทั้งนั้น	ton	เงินเขาทั้งนั้น... เงินตัวเองแท้ๆ	0.62
43	2.0	4.0	เงินตัวเองแท้แท้	ton	แล้วมานั่งกินร้านเราทุกอาทิตย์ทำไม	0.2
43	4.0	6.0	แล้วมานั่งกินร้านเราทุกอธิตทำไม			0.0
44	0.62	2.42	อร่อยเหมือนเดิมครับพี่	cherd	อร่อยเหมือนเดิมครับพี่	1.0
44	3.08	5.28	เย็นนี้ผมแวะหลังร้านนะครับ	cherd	เย็นนี้ผมแวะหลังร้านนะครับ	1.0
45	1.17	3.17	3 วันแล้วเหรอ	somchai	สามวันแล้วเหรอ เร็วจังเลย	0.74
45	3.17	5.67	เย็นนี้ผมยังไม่ได้เตียมเลย	somchai	เย็นนี้... ผมยังไม่ได้เตรียมเลย	0.98
46	1.81	3.81	ลุงเค้าฝากอะไรไว้เหรอครับพ่อ	ton	ลุงเขาฝากอะไรไว้เหรอครับพ่อ	0.95
46	4.43	6.43	บายเสร็จข้าของเก่านะ	somchai	ใบเสร็จค่าของเก่าน่ะ ไม่มีอะไร	0.65
46	6.43	7.63	ไม่มีอะไร			0.0
47	0.53	2.53	พ่อครับ ผมเก็บหน้าร้านแล้วนะครับ	ton	พ่อครับ ผมเก็บหน้าร้านแล้วนะครับ	1.0
47	2.53	4.53	เดี๋ยวผมขึ้นไปดูยาก่อนนะครับ	ton	เดี๋ยวผมขึ้นไปดูย่าก่อนนะครับ	0.98
48	0.05	3.05	ไปเถอะลูก เดี๋ยวพ่อเก็บที่เหลือเอง	somchai	ไปเถอะลูก เดี๋ยวพ่อเก็บที่เหลือเอง	1.0
48	3.77	6.27	พ่อออกไปทิ้งขยะหลังร้านแป๊บหนึ่ง	somchai	พ่อออกไปทิ้งขยะหลังร้านแป๊บนึง	0.97
49	1.17	3.67	มาแล้วหรือครับ ผมรออยู่เพราดี	somchai	มาแล้วเหรอครับ ผมรออยู่พอดี	0.89
49	4.17	5.67	งวนเนี้ยผมเตียมไว้แล้วครับ	somchai	งวดนี้ผมเตรียมไว้แล้วครับ ไม่ต้องห่วง	0.74
49	6.67	7.67	ไม่ต้องห่วง			0.0
50	0.69	2.69	งวันนี้ช้าไปสามวันนะครับพี่	cherd	งวดนี้ช้าไปสามวันนะครับพี่ ผมเลยแวะมาเอง	0.76
50	2.69	4.69	ผมเลยแวะมาเอง	somchai	พรุ่งนี้ผมหาให้ครบแน่นอนครับ	0.2
50	4.69	7.69	พรุ่งนี้ผมหาให้ครบแน่นอนครับ	cherd	พี่พูดแบบนี้ทุกงวดเลยนะครับ	0.36
50	7.69	9.69	พี่พูดแบบนี้ทุกงวัดเลยนะครับ			0.0
51	0.43	3.43	ได้ยินว่า คุณแม่ไม่ค่อยสบายนะครับ	cherd	ได้ยินว่าคุณแม่ไม่ค่อยสบายนะครับ	1.0
51	3.43	6.93	เดือนหน้าข้าหมอคงอีกก่อนผมห่วงแทนพี่ครับ	cherd	เดือนหน้าค่าหมอคงอีกก้อน ผมห่วงแทนพี่ครับ	0.93
51	6.93	8.93	แม่ผมสบายดีครับ	somchai	แม่ผมสบายดีครับ	1.0
52	0.08	2.08	สีปีแล้วนะครับพี่	cherd	สี่ปีแล้วนะครับพี่ เวลามันไม่รอใครเลย	0.64
52	3.28	5.28	เวลามันไม่หลอกใครเลย	cherd	อาทิตย์หน้าเวลาเดิมนะครับ	0.36
52	5.68	7.68	อาทิตหน้าเวลาเดิมนะครับ			0.0
53	0.56	3.56	4 ปีแล้วจริงๆด้วย ผมนับไม่ไหวแล้ว	somchai	สี่ปีแล้วจริงๆด้วย ผมนับไม่ไหวแล้ว	1.0
53	4.56	5.56	อีกง่วดเดียว	somchai	อีกงวดเดียว แค่งวดเดียวก็หมดแล้ว	0.51
53	5.56	7.56	แค่งง่วดเดียวก็หมดแล้ว			0.0
54	1.17	3.17	พ่อครับ ย่าหลับแล้วนะครับ	ton	พ่อครับ ย่าหลับแล้วนะครับ	1.0
54	3.17	5.17	พ่อ อยู่ไหนครับ	ton	พ่อ...อยู่ไหนครับ	1.0
55	1.01	3.67	อยู่นี่ลูก พ่อออกไปทิ้งขยะมา	somchai	อยู่นี่ลูก พ่อออกไปทิ้งขยะมา	1.0
55	3.67	5.97	ขยะอะไรใช้เวลาตั้งนานครับพ่อ	ton	ขยะอะไรใช้เวลาตั้งนานครับพ่อ	1.0
55	5.97	7.47	ผมยืนรออยู่ตั้งนานแล้ว	ton	ผมยืนรออยู่ตั้งนานแล้ว	1.0
56	1.04	7.28	พ่อ ลุงคนกังวันเขาเชื่ออะไรนะครับ เชื่อ เขามาทุกอธิตเลยเหรอครับ	ton	พ่อ... ลุงคนกลางวันนั่น เขาชื่ออะไรนะครับ	0.62
56			(ไม่ได้ยิน)	somchai	เชิด	0.0
56			(ไม่ได้ยิน)	ton	เขามาทุกอาทิตย์เลยเหรอครับ	0.0
57	0.94	2.94	เขามากินกวิตเตียวลูก	somchai	เขามากินก๋วยเตี๋ยวลูก	0.88
57	3.3	6.1	ไปนอนเถอะ พรุ่งนี้ต้องตื่นเช้า	somchai	ไปนอนเถอะ พรุ่งนี้ต้องตื่นเช้า	1.0
58	0.75	2.75	เงินเขาทั้งนั้น	ton	เงินเขาทั้งนั้น...	1.0
58	3.75	6.75	แล้วทำไมพ่อต้องออกไปหลังร้าน ออกไปหลังร้าน	ton	แล้วทำไมพ่อต้องออกไปหลังร้าน	0.81
59	0.27	2.73	สีปี สีปีพอดีเลยเหรอ?	ton	สี่ปี... สี่ปีพอดีเลยเหรอ	0.95
59	3.93	5.83	ผมเข้ามาหาไหลปีไหนนะ	ton	ผมเข้ามหาลัยปีไหนนะ... ก็ปีนั้นแหละ	0.67
59	6.53	7.77	ก็ปีนั้นแหละ			0.0
60	0.21	5.21	ปี 1 ปี 2 ปี 3 ปี 4 ข้าเธอมทุกเธอมเลย	ton	ปีหนึ่ง ปีสอง ปีสาม ปีสี่ ค่าเทอมทุกเทอมเลย	0.9
60	5.21	7.21	พ่อไม่เคยบอกผมเลยสักคำ	ton	พ่อไม่เคยบอกผมเลยสักคำ	1.0
60	7.21	9.21	ผมนึกว่า ร้านมันพอ	ton	ผมนึกว่าร้านมันพอ	1.0
61	1.68	3.68	ย่าลู้มาตลอดใช่ไหมครับ	ton	ย่ารู้มาตลอดใช่ไหมครับ	0.95
61	3.68	5.68	ย่าถึงพูดว่าได้ยินหมด	ton	ย่าถึงพูดว่าได้ยินหมด	1.0
62	0.91	4.65	ต้นเหรอลูก ย่าไม่ได้หลับหรอก	ya	...ต้นเหรอลูก...	0.54
62			(ไม่ได้ยิน)	ya	...ย่าไม่ได้หลับหรอก...	0.0
63	1.01	4.01	ย่าครับ ผมถามอะไรหน่อยได้ไหมครับ	ton	ย่าครับ ผมถามอะไรหน่อยได้ไหมครับ	1.0
63	4.01	5.51	ถามสิลูก	ya	...ถามสิลูก...	1.0
63	5.51	9.01	พ่อไปเอาเงินค้าเทิมผมมาจากไหนครับ มาจากไหนครับ	ton	พ่อไปเอาเงินค่าเทอมผมมาจากไหนครับ	0.79
64	0.11	7.11	ย่าบอกไม่ได้หรอกลูก พ่อเขาสั่งย่าไว้ ว่าอย่าให้ลูกรู้	ya	...ย่าบอกไม่ได้หรอกลูก...	0.54
64			(ไม่ได้ยิน)	ya	...พ่อเขาสั่งย่าไว้...	0.0
64			(ไม่ได้ยิน)	ya	...ว่าอย่าให้ลูกรู้...	0.0
65	1.2	4.93	ผมรู้แล้วครับย่า	ton	ผมรู้แล้วครับย่า	1.0
65	4.93	6.93	ผมนั่งนับเองอยู่ข้างลางเมื่อกี้	ton	ผมนั่งนับเองอยู่ข้างล่างเมื่อกี้	0.98
66	0.62	2.62	เหนื่อยจังเลยวันนี้	somchai	เหนื่อยจังเลยวันนี้	1.0
66	3.38	5.38	อีกงวดเดียวก็จบแล้ว	somchai	อีกงวดเดียวก็จบแล้ว	1.0
67	0.94	1.94	พ่อครับ	ton	พ่อครับ	1.0
67	3.44	4.94	ยังไม่นอนอีกแล้วลูก	somchai	ยังไม่นอนอีกเหรอลูก	0.79
67	6.24	7.44	ผมรอพ่ออยู่ครับ	ton	ผมรอพ่ออยู่ครับ	1.0
68	0.78	2.78	นี่ลูก เอาไว้ค่าลดไปสัมพาด	somchai	นี่ลูก เอาไว้ค่ารถไปสัมภาษณ์	0.81
68	3.78	4.78	ผมไม่เอาเงินนี้ครับพ่อ	ton	ผมไม่เอาเงินนี้ครับพ่อ	1.0
68	5.78	6.78	เอาไปเถอะลูก	somchai	เอาไปเถอะลูก	1.0
69	0.27	3.27	พ่อไม่ต้องปกป้องผมแบบนี้ก็ได้ครับ	ton	พ่อไม่ต้องปกป้องผมแบบนี้ก็ได้ครับ	1.0
69	3.27	5.27	ผมรู้เรื่องลุงเชิญแล้วครับ	ton	ผมรู้เรื่องลุงเชิดแล้วครับ	0.96
70	0.59	2.59	ใครบอกลูก ย่าเหรอ	somchai	ใครบอกลูก	0.72
70			(ไม่ได้ยิน)	somchai	ย่าเหรอ	0.0
71	0.34	2.34	ไม่มีใครบอกผมครับ ผมนับเอง	ton	ไม่มีใครบอกผมครับ ผมนับเอง	1.0
71	2.34	3.84	ผมนับเอง	ton	สี่ปี ค่าเทอมผมสี่ปีพอดีเลยนะครับพ่อ	0.28
71	3.84	4.84	4ปี	somchai	อือ	0.0
71	4.84	7.84	ค่าเธอมผม4ปีพอดีเลยนะครับ พ่อ			0.0
72	0.3	2.8	ผมเรียนจบมาด้วยเงินแบบนั้นหรือครับ	ton	ผมเรียนจบมาด้วยเงินแบบนั้นเหรอครับ	0.97
72	3.8	6.8	แล้วพ่อ ปล่อยให้ผมคิดว่า ร้านมันพอ	ton	แล้วพ่อปล่อยให้ผมคิดว่าร้านมันพอ	1.0
73	0.82	3.82	ตอนนั้นพ่อมีทางเลือกอยู่สองทางลูก	somchai	ตอนนั้นพ่อมีทางเลือกอยู่สองทางลูก	1.0
73	3.82	6.82	ทางหนึ่งคือบอกลูกว่าไม่มี	somchai	ทางหนึ่งคือบอกลูกว่าไม่มี	1.0
73	6.82	8.82	พ่อเลือกอีกทาง	somchai	พ่อเลือกอีกทาง	1.0
74	1.97	3.97	งวดนี้เท่าหลายครับ	ton	งวดนี้เท่าไหร่ครับ	0.83
74	3.97	5.97	ลูกไม่ต้องรู้	somchai	ลูกไม่ต้องรู้	1.0
75	0.34	2.34	ผมจะหางานให้ได้ครับ	ton	ผมจะหางานให้ได้ครับ	1.0
75	3.34	5.34	แล้วผมจะเป็นคนจ่ายเอง	ton	แล้วผมจะเป็นคนจ่ายเอง	1.0
76	0.05	2.05	งวดนี้เป็นงวดสุดท้ายแล้วลูก	somchai	งวดนี้เป็นงวดสุดท้ายแล้วลูก	1.0
76	3.05	6.05	พ่อจ่ายมาสีปี อีกงวดเดียวพ่อก็ไหว	somchai	พ่อจ่ายมาสี่ปี อีกงวดเดียวพ่อก็ไหว	0.98
76	6.05	7.05	พ่อ	ton	พ่อ...	1.0
77	0.0	2.74	ลูกไม่ต้องรู้สึกผิดอะไรทั้งนั้นนะ	somchai	ลูกไม่ต้องรู้สึกผิดอะไรทั้งนั้นนะ	1.0
77	3.14	5.1	พ่ออยากให้ลูกได้เรียน	somchai	พ่ออยากให้ลูกได้เรียน พ่อก็เลยให้ลูกเรียน	0.69
77	5.1	7.0	พ่อก็เลยให้ลูกเรียน			0.0
78	1.01	3.01	เงินนี้พ่อตั้งใจหามาให้ลูก	somchai	เงินนี้พ่อตั้งใจหามาให้ลูก	1.0
79	0.91	2.91	ไม่ต้องรู้ว่ามันมาจากไหน	somchai	ไม่ต้องรู้ว่ามันมาจากไหน	1.0
79	2.91	4.91	แค่ใช้มันให้คุ้ม	somchai	แค่ใช้มันให้คุ้ม	1.0
80	0.02	2.02	กินก่อนไปสมักงานนะลูก	somchai	กินก่อนไปสมัครงานนะลูก	0.93
80	3.52	5.52	เดี๋ยวพ่อลูกเส้นให้	somchai	เดี๋ยวพ่อลวกเส้นให้	0.95
81	0.82	1.82	ครับพ่อ	ton	ครับพ่อ	1.0
81	3.12	4.32	อีกงวดเดียว	ton	อีกงวดเดียว... ผมจำไว้แล้วนะครับ	0.56
81	5.02	6.32	ผมจำไว้แล้วนะครับ			0.0
82	0.27	4.59	ได้ยินหมด ย่าจดไว้หมดแล้วลูก	ya	...ได้ยินหมด...	0.5
82			(ไม่ได้ยิน)	ya	...ย่าจดไว้หมดแล้วลูก...	0.0
83	1.23	3.23	วันพระลื้นหัดแล้วนะครับพี่	cherd	วันพฤหัสแล้วนะครับพี่	0.81
83	4.23	7.23	งวดที่แล้วผมจ่ายงวดสุดท้ายไปแล้วเนี่ยครับ	somchai	งวดที่แล้วผมจ่ายงวดสุดท้ายไปแล้วนี่ครับ	0.97
84	0.72	4.04	นั่นต้นครับพี่ ยังมีส่วนต่างอีกนิดหน่อย	cherd	นั่นต้นครับพี่ ยังมีส่วนต่างอีกนิดหน่อย	1.0
84	4.04	5.34	เท่าไหร่ครับ	somchai	เท่าไหร่ครับ	1.0
84	5.34	7.64	อืม เดี๋ยวผมคิดให้ครับ	cherd	เดี๋ยวผมคิดให้ครับ	0.92
85	1.3	4.3	เชิญครับ ขอดูสมุดหน่อยได้ไหมครับ	somchai	เชิดครับ ขอดูสมุดหน่อยได้ไหมครับ	0.97
86	0.14	2.14	สมุดอะไรเหรอครับพี่	cherd	สมุดอะไรเหรอครับพี่	1.0
87	0.3	3.98	ที่เชิดจดไว้ว่าผมจ่ายไปแล้วเท่าหลายครับ	somchai	ที่เชิดจดไว้ว่าผมจ่ายไปแล้วเท่าไหร่ครับ	0.92
87	3.98	5.98	4 ปีแล้วนะครับ	somchai	สี่ปีแล้วนะครับ	1.0
88	0.5	2.5	ผมจำได้หมดในหัวครับพี่	cherd	ผมจำได้หมดในหัวครับพี่	1.0
88	3.5	4.5	พี่ไม่เชื่อผมเหรอครับ	cherd	พี่ไม่เชื่อผมเหรอครับ	1.0
